equipe,elo_pre,elo_post,delta
Espagne,2171,2159,-12
Argentine,2113,2142,29
Angleterre,2042,2057,15
Colombie,1998,2013,15
Pays-Bas,1976,2011,35
Brésil,1991,2010,19
France,2063,2004,-59
Norvège,1840,1982,142
Portugal,1976,1975,-1
Japon,1924,1932,8
Croatie,1933,1928,-5
Maroc,1887,1924,37
Allemagne,1934,1918,-16
Suisse,1835,1873,38
Mexique,1804,1860,56
Uruguay,1895,1847,-48
Belgique,1849,1843,-6
Sénégal,1869,1834,-35
Équateur,1833,1821,-12
États-Unis,1797,1817,20
Côte d'Ivoire,1771,1803,32
Autriche,1790,1796,6
Suède,1761,1786,25
Algérie,1785,1785,0
Iran,1790,1769,-21
Turquie,1801,1760,-41
Paraguay,1762,1755,-7
Australie,1714,1742,28
RD Congo,1690,1735,45
Canada,1739,1728,-11
Ghana,1695,1727,32
Écosse,1737,1716,-21
Corée du Sud,1746,1707,-39
Égypte,1660,1707,47
Bosnie-Herzégovine,1633,1655,22
Tchéquie,1709,1649,-60
Arabie saoudite,1630,1642,12
Cap-Vert,1580,1629,49
Tunisie,1671,1603,-68
Afrique du Sud,1556,1600,44
Panama,1640,1599,-41
Ouzbékistan,1635,1576,-59
Irak,1600,1552,-48
Haïti,1571,1536,-35
Jordanie,1565,1530,-35
Qatar,1571,1522,-49
Curaçao,1497,1494,-3
Nouvelle-Zélande,1500,1480,-20
